UIN,YEAR,SITE,TRANSECT,kelp,prev.kelp,kelp_plants,prev.kelp_plants,sand,urchins,spring_canopy,summer_canopy,mean_Max.OV,mean_Mean.OV
2008_NAPL_1,2008,NAPL,1,320,781,41,51,0,88,0,0,1.050788144,0.45624238
2008_NAPL_2,2008,NAPL,2,296,591,33,28,0,174,0,0,1.007542437,0.434265286
2008_NAPL_3,2008,NAPL,3,0,16,4,3,0,254,0,0,1.007542437,0.434265286
2008_NAPL_4,2008,NAPL,4,2,0,1,2,0,2,0,0,1.007542437,0.434265286
2008_NAPL_5,2008,NAPL,5,32,275,8,6,0,34,0,0,1.007542437,0.434265286
2008_NAPL_6,2008,NAPL,6,79,144,12,9,0,66,0,0,1.007542437,0.434265286
2008_NAPL_7,2008,NAPL,7,148,296,30,13,0,93,0,0,1.007542437,0.434265286
2008_NAPL_8,2008,NAPL,8,77,133,13,14,0,135,0,0,1.007542437,0.434265286
2009_ABUR_1,2009,ABUR,1,38,496,4,12,80,0,0,0,0.731043952,0.345021318
2009_ABUR_2,2009,ABUR,2,0,49,4,3,59,0,0,0,0.728165353,0.343275635
2009_AHND_1,2009,AHND,1,0,0,4,4,80,0,0,0,0.506496294,0.241157353
2009_AHND_2,2009,AHND,2,249,377,10,43,21,132,0,63.33333333,0.538482292,0.253333087
2009_AQUE_1,2009,AQUE,1,325,558,19,31,0,28,589,101,0.560100255,0.272915854
2009_AQUE_2,2009,AQUE,2,368,429,24,63,13,140,447,55.66666667,0.560100255,0.272915854
2009_AQUE_3,2009,AQUE,3,225,178,9,20,52,4,0,0,0.60059873,0.292056888
2009_AQUE_4,2009,AQUE,4,255,288,9,14,27,22,749,62.33333333,0.585412802,0.284247852
2009_AQUE_5,2009,AQUE,5,301,225,11,9,0,47,701,0,0.585412802,0.284247852
2009_AQUE_6,2009,AQUE,6,329,381,7,4,13,7,565,0,0.575116329,0.28161476
2009_BULL_1,2009,BULL,1,633,233,21,30,0,16,0,323,0.585005603,0.292328496
2009_BULL_3,2009,BULL,3,366,296,16,10,0,0,NA,0,0.585005603,0.292328496
2009_BULL_6,2009,BULL,6,396,173,12,12,0,2,0,93.66666667,0.585005603,0.292328496
2009_CARP_1,2009,CARP,1,119,2235,6,304,0,119,172,0,0.749414699,0.323542127
2009_CARP_3,2009,CARP,3,754,322,43,93,0,189,615,0,0.749414699,0.323542127
2009_CARP_4,2009,CARP,4,235,1436,79,338,0,382,466,47,0.749414699,0.323542127
2009_CARP_6,2009,CARP,6,0,0,4,4,0,215,172,0,0.749414699,0.323542127
2009_CARP_7,2009,CARP,7,244,0,54,4,0,135,303,0,0.749414699,0.323542127
2009_GOLB_1,2009,GOLB,1,823,169,15,23,30,5,450,51.33333333,0.484718752,0.215909552
2009_GOLB_2,2009,GOLB,2,439,311,16,44,28,1,712,76.33333333,0.484718752,0.215909552
2009_IVEE_1,2009,IVEE,1,443,303,11,6,1,20,510,0,0.750569355,0.351768994
2009_IVEE_2,2009,IVEE,2,493,445,20,13,6,48,732,0,0.750569355,0.351768994
2009_MOHK_1,2009,MOHK,1,467,831,15,114,2,61,761,163.6666667,0.808073167,0.382577003
2009_MOHK_2,2009,MOHK,2,1014,587,50,59,0,66,753,123.3333333,0.771830836,0.370366543
2009_NAPL_1,2009,NAPL,1,220,320,29,41,0,208,0,0,0.815032839,0.394814652
2009_NAPL_2,2009,NAPL,2,18,296,5,33,0,162,0,0,0.788379898,0.375917201
2009_NAPL_3,2009,NAPL,3,9,0,6,4,0,135,0,0,0.788379898,0.375917201
2009_NAPL_4,2009,NAPL,4,36,2,12,1,0,0,0,0,0.788379898,0.375917201
2009_NAPL_5,2009,NAPL,5,23,32,5,8,0,24,0,0,0.788379898,0.375917201
2009_NAPL_6,2009,NAPL,6,24,79,5,12,0,115,0,0,0.788379898,0.375917201
2009_NAPL_7,2009,NAPL,7,55,148,8,30,0,79,0,0,0.788379898,0.375917201
2009_NAPL_8,2009,NAPL,8,23,77,5,13,0,246,0,0,0.788379898,0.375917201
